player,text-center (2),text-center (6),text-center (7),text-center (8),text-center (9),text-center (10)
Nexto (Toxic),1.414213562373095,-1.414213562373095,1.414213562373095,3.9568438212326567,-1.2416884311482577,3.4645471874098575
Nexto-EZ80,1.414213562373095,-1.414213562373095,1.414213562373095,2.0747330478481154,-0.8261691652999519,1.9247484374499209
Element,1.414213562373095,-1.414213562373095,1.414213562373095,2.0747330478481154,-0.618409532375799,1.7964318749532593
Nexto-EZ70,1.414213562373095,-1.414213562373095,1.414213562373095,1.7924164318404343,-0.7222893488378754,1.668115312456598
Immortal,1.414213562373095,-1.414213562373095,1.414213562373095,1.60420535450198,-0.8261691652999519,1.6039570312082674
Nexto,1.414213562373095,-1.414213562373095,1.414213562373095,0.7572555064789366,-1.3455682476103341,1.3473239062149445
Bumblebee,1.414213562373095,-1.414213562373095,1.414213562373095,1.0395721224866177,-0.41064989945164604,0.9623742187249604
Botimus Prime,1.414213562373095,-1.414213562373095,1.414213562373095,0.7572555064789366,-0.5145297159137224,0.834057656228299
Wyrm,1.414213562373095,-1.414213562373095,1.414213562373095,0.004411197125120019,-0.8261691652999519,0.5132662499866455
Bribblebot,1.414213562373095,-1.414213562373095,1.414213562373095,-0.08969434154410705,-0.9300489817620283,0.5132662499866455
Nexto-EZ60,1.414213562373095,-1.414213562373095,1.414213562373095,0.2867278131328012,-0.41064989945164604,0.4491079687383148
Leaf,1.414213562373095,-1.414213562373095,1.414213562373095,0.004411197125120019,-0.7222893488378754,0.4491079687383148
Codename Cryo,1.414213562373095,-1.414213562373095,1.414213562373095,-0.1837998802133341,-0.9300489817620283,0.4491079687383148
Tankar,1.414213562373095,-1.414213562373095,1.414213562373095,0.09851673579434708,-0.5145297159137224,0.38494968748998415
Nebulous,1.414213562373095,-1.414213562373095,1.414213562373095,-0.5602220348902424,-1.1378086146861812,0.3207914062416535
Isopod,1.414213562373095,-1.414213562373095,1.414213562373095,-0.37201095755178826,-0.7222893488378754,0.19247484374499207
Necto,0.0,0.0,0.0,1.321888738494299,-0.7222893488378754,1.3473239062149445
Nexto-EZ90,0.0,0.0,0.0,1.1336776611558448,-0.9300489817620283,1.3473239062149445
