Name,0,1
Nexto (Toxic),1.0,0.799061004450329
Nexto-EZ80,0.8421794142091095,0.5398631046547879
Element,0.8287576972063351,0.5810226499899127
Nexto-EZ70,0.8158219829399211,0.5092153287524827
Immortal,0.8094351262627741,0.4544838570383418
Nexto,0.7840497004663068,0.1979023479909277
Bumblebee,0.7432985467216231,0.43434785056885317
Botimus Prime,0.7303628324552092,0.3625405293314231
Wyrm,0.6981045472452344,0.16419441514242217
Bribblebot,0.6982665481573546,0.12653879295157086
Nexto-EZ60,0.6909076860074868,0.29774105438253806
Leaf,0.6913936887438472,0.18477418780998414
Codename Cryo,0.6917176905680875,0.10946294342828145
Tankar,0.6845208293303399,0.24300958266839737
Nebulous,0.6789439772137937,0.0
Isopod,0.665198258386779,0.11647078971682653
Necto,0.5706260151766854,0.41720228521779434
Nexto-EZ90,0.5709500170009257,0.3418910408360917
Monkey,0.5108762923126813,0.4517977504624464
Self-driving car,0.49106771863275994,0.4382258240834296
king.,0.4757019906845436,0.9312528357087694
SkyBot,0.4787800080148266,0.21579601408259422
Kamael,0.4725551522497999,0.12340892017760216
BitBot,0.45832343068642467,0.35284657646698264
Cheezer,0.4591334352470255,0.16456846551272605
VirxEB,0.45929543615914564,0.12691284332187472
Rapha,0.451126569448677,0.4863932157070985
Wildfire,0.4449017136836503,0.3940061218021065
Engine,0.4461977209806115,0.09276114427529594
Cheesus,0.439162860654984,0.18865216132456053
Oneborg,0.4290499829990735,1.0
Atlas,0.43293800488995726,0.09626506741956845
BroccoliBot,0.4331000058020774,0.05860944522871708
DisasterBot,0.4331000058020774,0.05860944522871708
ElkBot,0.43326200671419757,0.020953823037865804
AdversityBot,0.42622714638857007,0.11684484008713042
Raisin Bran,0.41167142300095455,0.4215937407582135
Air Bud,0.4129674302979158,0.12034876323140292
Aether,0.4134534330342763,0.00738189665884903
Phoenix CS,0.40593256997228827,0.21623978028066748
Beast from the East,0.40658057362076894,0.06561729151726231
ReliefBot,0.3992217114709011,0.23681955294822943
PenguinBot,0.3928348547937542,0.1820880812340887
RedBot,0.3448868398113228,0.5520802230521302
Vector,0.3363939712766138,0.9868718398190567
St. Peter,0.33947198860689687,0.27141501819288155
Molten,0.2987208348622131,0.507860520770807
NomBot_v1.0,0.2913619727123453,0.6790627822017743
ABot,0.20722660898240255,0.09313519464559974
rashBot,0.20738860989452274,0.055479572454748494
RocketNoddles,0.20755061080664286,0.017823950263897215
Nexto-EZ50,0.1663134543255987,0.3672363194143766
ForumlarBot 1.5,0.16744746071043987,0.10364696407841736
Nexto-EZ40,0.15386374279554527,0.18246213160439256
CheeseBot,0.14666688155779756,0.31600877084450846
Zoomlettet,0.14731488520627817,0.16538628208110315
Aries,0.07398144442737947,0.27879691485173047
Blind and Deaf,0.07398144442737947,0.27879691485173047
Lanfear,0.07398144442737947,0.27879691485173047
Seer v0,0.06581257771691079,0.6382772872369542
FillamentBot,0.05352486709897747,0.4158474772361188
Noob Blue,0.045193999476388635,0.812983471812194
Stick,0.03323029068269567,0.5152424174296559
JoeyBot,0.0,0.542830036385763
